file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,169,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,25
style.css,170,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,14
style.css,171,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,15
style.css,172,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,18
style.css,173,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,174,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,175,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,18
style.css,176,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,15
style.css,177,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,17
style.css,178,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,9
style.css,179,css,0a5d6444,Owen Yang,2025-02-01,16:40:19,-08:00,2025-02-01T16:40:19-08:00,0,0
style.css,180,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,19
style.css,181,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,15
style.css,182,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,17
style.css,183,css,90b4524a,Owen Yang,2025-01-18,18:25:30,-08:00,2025-01-18T18:25:30-08:00,0,0
style.css,184,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,17
style.css,185,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,0
style.css,186,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,11
style.css,187,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,13
style.css,188,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,19
style.css,189,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,8
style.css,190,css,a8a4fca5,Owen Yang,2025-02-08,22:21:09,-08:00,2025-02-08T22:21:09-08:00,0,0
